,,Google Ads,,,,,,,META,,,,,,,DogiZone Business Results,,,,,,,Other KPIs ET,,,,,
,Month,Google Budget,Google Pacing (%),Google Amount Spent,"Google Total Conversions 
(Only Calls + form submited)",Google Leads (Calls),Google Leads (forms submited),"
Google 
CPL",Meta Budget,Meta Pacing (%),Meta Amount Spent,Meta Total Conversions,Meta Leads (Forms Completed),Meta Calls,"
Meta 
CPL","Total Revenue 
(All Business including retail)",Total Calls Generated,"Total Leadforms Filled 
(any source on website)","Total Leads
(Account Created Leads)
MQL","Total First Reservation 
(New Customers)
SQL","% CVR 
From Calls and Leadforms to MQLS",% CVR from MQL to SQL,Total Ad Spent,Total Leads Ad Channels,Total Calls Ad Channels,Total Forms Filled from Ad Channels,Blended CPL,MER
,January 2025,"$14,500",99.15%,"$14,376.51",141.38,81.99,59.39,$101.69,,,,,,,,"$339,423.75",,672,213,110,0,51.64%,"$14,376.51",141,82,59,$67.50,23.61
,February 2025,"$13,000",98.78%,"$12,840.79",236.67,138.67,98.00,$54.26,,,,,,,,"$335,207.78",,314,212,119,67.52%,56.13%,"$12,840.79",237,139,98,$60.57,26.10
,March 2025,"$14,500",99.98%,"$14,497.43",347.84,186.34,161.50,$41.68,,,,,,,,"$368,678.80",,357,276,124,77.31%,44.93%,"$14,497.43",348,186,162,$52.53,25.43
,April 2025,"$13,600",99.97%,"$13,596.32",374.50,217.00,157.50,$36.31,,,,,,,,"$388,359.34",,383,241,120,62.92%,49.79%,"$13,596.32",375,217,158,$56.42,28.56
,May 2025,"$13,000",99.74%,"$12,966.63",339.01,197.01,142.00,$38.25,,,,,,,,"$320,756.61",,335,252,111,75.22%,44.05%,"$12,966.63",339,197,142,$51.45,24.74
,June 2025,"$11,000",98.19%,"$10,800.38",376.03,201.03,175.00,$28.72,,,,,,,,"$371,542.35",,373,209,104,56.03%,49.76%,"$10,800.38",376,201,175,$51.68,34.40
,July 2025,"$8,850",99.46%,"$8,802.44",365.80,215.97,149.83,$24.06,,,,,,,,"$432,450.29",,342,212,115,61.99%,54.25%,"$8,802.44",366,216,150,$41.52,49.13
,August 2025,"$9,200",99.95%,"$9,195.56",376.43,224.26,152.17,$24.43,,,,,,,,"$499,518.01",,295,215,117,72.88%,54.42%,"$9,195.56",376,224,152,$42.77,54.32
,September 2025,"$11,500",99.33%,"$11,423.06",358.01,210.74,147.27,$31.91,,,,,,,,"$371,799.39",,387,136,93,35.14%,68.38%,"$11,423.06",358,211,147,$83.99,32.55
,October 2025,"$8,100",98.84%,"$8,006.31",325.93,168.03,157.90,$24.56,"$1,250",89.81%,"$1,122.63",14,3,11,$80.19,"$381,520.99",,293,123,90,41.98%,73.17%,"$9,128.94",340,179,161,$74.22,41.79
,November 2025,"$8,100",99.38%,"$8,050.04",331.01,220.01,111.00,$24.32,"$1,250",98.50%,"$1,231.23",4,1,3,$307.81,"$351,495.63",2596,285,148,94,5.14%,63.51%,"$9,281.27",335,223,112,$62.71,37.87
,December 2025,"$8,000",99.92%,"$7,993.83",407.03,224.03,183.00,$19.64,"$1,280",99.64%,"$1,275.44",7,2,5,$182.21,"$380,597.11",2632,272,168,83,5.79%,49.40%,"$9,269.27",414,229,185,$55.17,41.06
,January 2026,"$7,043",100.00%,"$7,042.89",408.68,274.15,134.53,$17.23,"$1,260",100.01%,"$1,260.17",6,4,2,$210.03,"$376,679.46",2451,268,137,68,5.04%,49.64%,"$8,303.06",415,276,139,$60.61,45.37
,February,"$8,065",77.91%,"$6,283.98",452.86,348.22,104.64,$13.88,"$1,400",66.09%,$925.24,16,3,13,$57.83,"$329,683.47",2526,253,124,73,4.46%,58.87%,"$7,209.22",469,361,108,$58.14,45.73
,March ,"$8,907",83.11%,"$7,402.53",620.38,447.77,172.61,$11.93,"$1,550",64.63%,"$1,001.82",31,3,28,$32.32,"$366,236.00",3090,335,208,98,6.07%,47.12%,"$8,404.35",651,476,176,$40.41,43.58
,April ,"$8,907",80.15%,"$7,139.08",536.93,397.54,139.39,$13.30,"$1,550",101.01%,"$1,565.61",48,34,14,$32.62,"$435,103.69",,,170,97,#DIV/0!,57.06%,"$8,704.69",585,412,173,$51.20,49.98
,May,"$8,907",98.52%,"$8,775.33",567.70,400.20,167.50,$15.46,"$1,550",104.13%,"$1,614.02",39,30,9,$41.39,,,,,,#DIV/0!,#DIV/0!,"$10,389.35",607,409,198,#DIV/0!,0.00
,June,"$8,907",0.00%,,,,,#DIV/0!,"$1,550",0.00%,,,,,#DIV/0!,,,,,,#DIV/0!,#DIV/0!,$0.00,0,0,0,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Last 9 days 
May 20 - May 28",,,"$2,689.66",134.98,96.98,38.00,$19.93,,,$473.72,8,6.00,2.00,$59.22,,,,,,,,"$3,163.38",143,99,44,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,DATA WE NEED,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Total Calls Generated,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Total Leadforms Filled,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Total ""Leads"" Accounts Created",,,,,,,,,,
,,,,,,,,,,,,,,,,,,Total First Reservations,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Total Revenue,,,,,,,,,,